date,advbw,bwhist
2011-09-25,14.065666,9.333903
2011-09-26,13.772293,8.808394
2011-09-27,13.090078,8.686278
2011-09-28,12.997739,8.596419
2011-09-29,13.073083,8.506265
2011-09-30,13.045633,8.442247
2011-10-01,12.812919,8.470301
2011-10-02,12.820896,8.569441
2011-10-03,12.847969,8.658821
2011-10-04,13.095486,8.556291
2011-10-05,13.266028,8.693130
2011-10-06,12.948680,8.392280
2011-10-07,12.835965,8.302109
2011-10-08,13.036945,8.472265
2011-10-09,13.431332,8.532534
2011-10-10,13.435474,8.604064
2011-10-11,13.299835,8.531104
2011-10-12,13.332042,8.814395
2011-10-13,13.218101,8.797831
2011-10-14,13.695800,8.909423
2011-10-15,13.625302,9.082845
2011-10-16,13.659195,9.066530
2011-10-17,13.566356,8.959533
2011-10-18,14.190420,9.201494
2011-10-19,14.294740,9.311569
2011-10-20,14.452122,9.221123
2011-10-21,14.503454,9.254859
2011-10-22,14.585644,9.250910
2011-10-23,14.689130,9.347236
2011-10-24,14.608483,9.424949
2011-10-25,14.877104,9.596338
2011-10-26,14.839314,9.433379
2011-10-27,14.844638,9.150100
2011-10-28,13.500640,7.965996
2011-10-29,12.658943,8.240889
2011-10-30,13.778431,8.404504
2011-10-31,13.425968,8.189416
2011-11-01,13.145984,8.628654
2011-11-02,13.463597,8.730167
2011-11-03,13.370354,8.332739
2011-11-04,13.415080,8.581681
2011-11-05,13.793541,8.728643
2011-11-06,13.766868,8.711531
2011-11-07,13.913063,8.894028
2011-11-08,14.146418,9.123677
2011-11-09,14.002678,8.664512
2011-11-10,13.931944,8.638425
2011-11-11,14.101827,8.870360
2011-11-12,14.141836,9.094519
2011-11-13,14.803538,9.465285
2011-11-14,14.902278,9.759681
2011-11-15,15.156660,9.794358
2011-11-16,15.343803,9.926267
2011-11-17,15.348049,10.218016
2011-11-18,15.513703,10.227825
2011-11-19,15.492002,10.328151
2011-11-20,15.627514,10.275415
2011-11-21,15.428009,9.644921
2011-11-22,15.005923,9.137380
2011-11-23,14.620447,9.310666
2011-11-24,14.624737,9.417903
2011-11-25,15.406911,10.409995
2011-11-26,15.943685,10.517817
2011-11-27,15.977943,10.553098
2011-11-28,15.849562,10.351797
2011-11-29,15.691461,9.794571
2011-11-30,15.796035,9.239189
2011-12-01,15.819426,9.960804
